Zooma;-;>see a guy >shoot him >miss every shot >he turns around >kills me in one shot >exit cs:go 10/10
Revan The Wounded Dragon;-;Revan was only 23 years old. He loved CS:GO so much. He had most of the achievements and items. He prayed to Gaben every night before bed, thanking him for the inventory he's been given. "CS:GO is love," he says, "CS:GO is life." His elder Dragon hears him and calls him a silver scrublord. He knows his elder is just jealous of his son's devotion to Gabe. He calls him a console peasant. He slaps him and sends him to sleep. He's crying now and his face hurts. He lays in bed, and it's really cold. He feels a warmth moving towards him. He looks up. It's Gabe! He's so happy, Gabe whispers into Revan's ear, "Try your chances... Open a case." Gaben grabs Revan with his powerful dev-team hands and puts him on his hands and knees. He's ready. Revan opens his pockets for Gabe. Gabe puts his hands deep into Revan's pockets. It costs so much, but Revan does it for CS:GO. Revan can feel his wallet emptying as his eyes start to water. He accepts the terms and conditions. Revan wants to please Gabe. Gaben lets out a mighty roar as he fills Revan's computer with keys. Revan opens all the cases and gets nothing worth anything at all. CS:GO is love... CS:GO is life... _______________________________________________________________ Instead of adding me, you can join the official fan group on Steam, here! <--- ...You can also check my crappy YouTube channel if you want, here. <--- I make lots of CS:GO videos, make assorted gameplay, and best of all, I make my own music!
Sir Grayson;-;Knife = free Knife with paint on it = 200$ 5000 likes time to jump off a building
Enderborn;-;Knife in real life: 10$ Knife in game: 400$ 10/10RUN.I.;-;Best Stalingrad Simulator 2014. Realistic war experience. Get matched with 4 russians while you are playing competitive. Learn some russian words and fight with your new friends for VICTORY! You just have to buy the uber P(ro)90 russian gun - Spray'n Pray! 9.5/10 Would play with my non-gay-russians again - Putin gg wp ez win
Trinobkiller;-;I drink Mountain Dew and eat Doritos for a 100% 360 MLG Headshot! Smoke weed for enhanced accuracy. You should try it too! #420 BLAZE IT
Horsey;-;Valve loves cheaters.
PreX' S7orm;-;Kill someone with a P90 - "You're a ing noob!! Noob weapon!!" Kill someone with a P90 through a smoke - "You're a ing hacker!!" Kill someone with a AWP - "You're a ing noob!! Noob weapon!!" Kill someone with a AWP through a door - "You're a ing hacker!!" In a 1 vs 5 you die - "You're a ing noob!!" In a 1 vs 5 you win - "You're a ing hacker!!" Kill someone with a headshot - "Hacker!!" Get headshoted by someone - "Owned!!" and get teabagged Kill someone with a grenade - "Luck!!" Get killed by someone with a grenade - "AHAHAHAHA" Get teamkilled by someone - "Get out of the way you ing idiot!!" Accidentally teamkill someone - "You're a ing idiot!!" Blocked by someone - Dies Accidentally blocks someone - "Get out the way you ing idiot!!" Decide to save - "You're a ing coward!!" Decide not to save - "Save you ing idiot!!" Kill someone while defending the bomb - "You ing camper!!" Kill someone while defending the hostages - "You ing camper!!" Run out and get urself killed when there is 2 secs left- Nooooooooooob Someone dies - The deceased one starts to rage Your team lose the round - Your team starts to rage Your team is losing 10-2 - Someone rages quit Go to the balcony in Italy - "You ing hacker!!" Worst guy receives a drop - "Are you ing serious!?" Warm up - Everybody tries to spawn kill Score is 5-1 in your favor - "This is a T map!" Score is 1-5 againts you - "This is a CT map!" Lose the first 2 rounds - Someone asks to get kicked Last round - Everybody buys Negev Your team is loosing and you are in last - Someone vote to kick you Win a match - All enemy team rages Lose a match - Your team rages Someone's Internet crashes - 30 minutes ban Your Internet crashes - 7 days ban Kill too many team-mate- u b****y idiot Thx Mistah J....... i just added some more stuff in. If u wanna be in rage? Get this game cos its Rage simulator 2014
Coat;-;Dont play at 3 am theres asians and russians
DatSpartan;-;not enough angry russians
SSGSSL Goku;-;Ever wanted a young child make homophobic, racist or general mean comments about your playstyle, this is the game for you
Chupa^;-;When I first saw this game, then I thought that this game is going to suck. Oh how I was wrong. I really enjoy playing this game. I like the fact, that there are some new weapons and that you can purchase skins for all weapons. The new buy menu however is quite unfamiliar, but I guess that's a thing I must get used to. Call me old-fashioned, but in my opinion, 1.6 is still better! ==)
Gotaki #3rd 1 week ban;-;What first started as a Half life mod became one of the most played games on steam...shows how you can really go from nothing to something Pros -Recoil -Balanced maps (well most at least) -Competitive Community -You can run a game even with a crappy computer -With the VAC system, Hackers get what they deserve -Skill is required -Community mods -A special gun for everyone -Footsteps -Strategic in ways such as using flashes and smokes -Easy to play and get into Neutral -Skins, many people will say how skins don't matter and they are 'opinional' but personally who would want to play with default skins, no one would use stock skins so Valve encourages people to 'buy' keys and gamble away their skins in uncasing and bets. I honestly don't know if this is a con or not since Valve does encourage people to put more money into skins than the game itself. Cons -Hackers -Smurfs -People can be salty -Debatable if some guns are OP Overall, the game is a fun game and worth your money although if I recommend it, you will probably get involved the gambling scheme Valve proposed. As most people say to me "Skins are opinion, you don't need them to play the game", well sir, would you enjoy playing the game knowing everyone has better skins than you?
RSn|Animus;-;The best Counter-Strike after Source!
Tabajara;-;Counter-Strike still keeps the award of the best action multi-player game in the world - 1#! Global Offensive proves that and will make you addict in this game. More gamemodes, more weapons, re-designed characters/weapons; and maps totally rebuild in the last Source Engine to bring the best FPS experience ever for you. Highly recommend this CS in your Steam account. 10/10
Els;-;Keys $2.50 case $0.03 = $0.05 garbage since when this game become barbie dreamhouse party -.-
Elizabeth I of England;-;Stop putting me with dirty ing Russians who kill you because 'you gave them the bomb' maybe then I'd be happy.
